Entity,Code,Date,"Excess mortality P-scores, all ages"
Austria,AUT,2020-01-05,-10.83
Austria,AUT,2020-01-12,-8.35
Austria,AUT,2020-01-19,0.59
Austria,AUT,2020-01-26,1.83
Austria,AUT,2020-02-02,7.06
Austria,AUT,2020-02-09,-8.43
Austria,AUT,2020-02-16,-5.06
Austria,AUT,2020-02-23,-5.65
Austria,AUT,2020-03-01,-2.62
Austria,AUT,2020-03-08,-0.55
Austria,AUT,2020-03-15,0.39
Austria,AUT,2020-03-22,14.89
Austria,AUT,2020-03-29,7.24
Austria,AUT,2020-04-05,15.3
Austria,AUT,2020-04-12,15.96
Austria,AUT,2020-04-19,11.86
Austria,AUT,2020-04-26,8.01
Austria,AUT,2020-05-03,1.05
Austria,AUT,2020-05-10,5.6
Austria,AUT,2020-05-17,1.78
Austria,AUT,2020-05-24,4.18
Austria,AUT,2020-05-31,0.25
Austria,AUT,2020-06-07,5.49
Austria,AUT,2020-06-14,1.22
Austria,AUT,2020-06-21,0.38
Austria,AUT,2020-06-28,2.66
Austria,AUT,2020-07-05,8.77
Austria,AUT,2020-07-12,0.41
Austria,AUT,2020-07-19,-1.82
Austria,AUT,2020-07-26,-2.47
Austria,AUT,2020-08-02,1.48
Austria,AUT,2020-08-09,0.48
Austria,AUT,2020-08-16,10.02
Austria,AUT,2020-08-23,3.01
Austria,AUT,2020-08-30,5.06
Austria,AUT,2020-09-06,10.59
Austria,AUT,2020-09-13,10.05
Austria,AUT,2020-09-20,10.26
Austria,AUT,2020-09-27,4.1
Austria,AUT,2020-10-04,5.01
Austria,AUT,2020-10-11,6.91
Austria,AUT,2020-10-18,7.49
Austria,AUT,2020-10-25,17.89
Austria,AUT,2020-11-01,25.31
Austria,AUT,2020-11-08,32.9
Austria,AUT,2020-11-15,47.19
Austria,AUT,2020-11-22,56.83
Austria,AUT,2020-11-29,57.87
Austria,AUT,2020-12-06,58.89
Austria,AUT,2020-12-13,53.97
Austria,AUT,2020-12-20,36.67
Austria,AUT,2020-12-27,21.95
Austria,AUT,2021-01-03,15.09
Austria,AUT,2021-01-10,7.46
Austria,AUT,2021-01-17,4.52
Belgium,BEL,2020-01-05,-6.17
Belgium,BEL,2020-01-12,-0.97
Belgium,BEL,2020-01-19,-4
Belgium,BEL,2020-01-26,-8.64
Belgium,BEL,2020-02-02,-5.46
Belgium,BEL,2020-02-09,-12.43
Belgium,BEL,2020-02-16,-8.03
Belgium,BEL,2020-02-23,-6.95
Belgium,BEL,2020-03-01,-11.27
Belgium,BEL,2020-03-08,-9.41
Belgium,BEL,2020-03-15,-3.86
Belgium,BEL,2020-03-22,10.8
Belgium,BEL,2020-03-29,44.42
Belgium,BEL,2020-04-05,90.79
Belgium,BEL,2020-04-12,105.61
Belgium,BEL,2020-04-19,81.39
Belgium,BEL,2020-04-26,50.38
Belgium,BEL,2020-05-03,20.86
Belgium,BEL,2020-05-10,18.07
Belgium,BEL,2020-05-17,3.32
Belgium,BEL,2020-05-24,5.93
Belgium,BEL,2020-05-31,3.09
Belgium,BEL,2020-06-07,-3.51
Belgium,BEL,2020-06-14,2.39
Belgium,BEL,2020-06-21,-5.13
Belgium,BEL,2020-06-28,3.9
Belgium,BEL,2020-07-05,-12.42
Belgium,BEL,2020-07-12,-8.91
Belgium,BEL,2020-07-19,-2.25
Belgium,BEL,2020-07-26,-8.91
Belgium,BEL,2020-08-02,3.85
Belgium,BEL,2020-08-09,9.1
Belgium,BEL,2020-08-16,55.51
Belgium,BEL,2020-08-23,16.89
Belgium,BEL,2020-08-30,-1.57
Belgium,BEL,2020-09-06,2.98
Belgium,BEL,2020-09-13,-2.27
Belgium,BEL,2020-09-20,6.76
Belgium,BEL,2020-09-27,1.02
Belgium,BEL,2020-10-04,-2.18
Belgium,BEL,2020-10-11,2.33
Belgium,BEL,2020-10-18,7.53
Belgium,BEL,2020-10-25,31.64
Belgium,BEL,2020-11-01,65.83
Belgium,BEL,2020-11-08,84.04
Belgium,BEL,2020-11-15,68.15
Belgium,BEL,2020-11-22,50.99
Belgium,BEL,2020-11-29,37.25
Belgium,BEL,2020-12-06,24.36
Belgium,BEL,2020-12-13,24.94
Belgium,BEL,2020-12-20,20.77
Belgium,BEL,2020-12-27,16.14
Belgium,BEL,2021-01-03,8.24
Belgium,BEL,2021-01-10,1.36
Bulgaria,BGR,2020-01-05,-18.36
Bulgaria,BGR,2020-01-12,-11.59
Bulgaria,BGR,2020-01-19,-13.51
Bulgaria,BGR,2020-01-26,-4.55
Bulgaria,BGR,2020-02-02,-1.09
Bulgaria,BGR,2020-02-09,1.48
Bulgaria,BGR,2020-02-16,0.41
Bulgaria,BGR,2020-02-23,-5.58
Bulgaria,BGR,2020-03-01,-4.4
Bulgaria,BGR,2020-03-08,-9.82
Bulgaria,BGR,2020-03-15,-5.85
Bulgaria,BGR,2020-03-22,-5.78
Bulgaria,BGR,2020-03-29,-2.98
Bulgaria,BGR,2020-04-05,-4.52
Bulgaria,BGR,2020-04-12,-2.44
Bulgaria,BGR,2020-04-19,-2.04
Bulgaria,BGR,2020-04-26,-3.6
Bulgaria,BGR,2020-05-03,-6.06
Bulgaria,BGR,2020-05-10,-5.88
Bulgaria,BGR,2020-05-17,5.81
Bulgaria,BGR,2020-05-24,-3.96
Bulgaria,BGR,2020-05-31,-7.97
Bulgaria,BGR,2020-06-07,-0.13
Bulgaria,BGR,2020-06-14,0.38
Bulgaria,BGR,2020-06-21,-1.94
Bulgaria,BGR,2020-06-28,-3
Bulgaria,BGR,2020-07-05,12.49
Bulgaria,BGR,2020-07-12,5.16
Bulgaria,BGR,2020-07-19,-1.55
Bulgaria,BGR,2020-07-26,0.36
Bulgaria,BGR,2020-08-02,9.96
Bulgaria,BGR,2020-08-09,6.38
Bulgaria,BGR,2020-08-16,6.01
Bulgaria,BGR,2020-08-23,4.09
Bulgaria,BGR,2020-08-30,6.21
Bulgaria,BGR,2020-09-06,7.11
Bulgaria,BGR,2020-09-13,5.1
Bulgaria,BGR,2020-09-20,1.63
Bulgaria,BGR,2020-09-27,2.03
Bulgaria,BGR,2020-10-04,2
Bulgaria,BGR,2020-10-11,4.55
Bulgaria,BGR,2020-10-18,4.53
Bulgaria,BGR,2020-10-25,14.95
Bulgaria,BGR,2020-11-01,30.52
Bulgaria,BGR,2020-11-08,53.26
Bulgaria,BGR,2020-11-15,84.58
Bulgaria,BGR,2020-11-22,110.12
Bulgaria,BGR,2020-11-29,123.93
Bulgaria,BGR,2020-12-06,117.92
Bulgaria,BGR,2020-12-13,97.38
Bulgaria,BGR,2020-12-20,75.41
Bulgaria,BGR,2020-12-27,35.87
Bulgaria,BGR,2021-01-03,22.72
Bulgaria,BGR,2021-01-10,-1.84
Bulgaria,BGR,2021-01-17,-6.97
Canada,CAN,2020-01-05,1.53
Canada,CAN,2020-01-12,1.46
Canada,CAN,2020-01-19,1.03
Canada,CAN,2020-01-26,3.44
Canada,CAN,2020-02-02,0.42
Canada,CAN,2020-02-09,1.81
Canada,CAN,2020-02-16,-1.13
Canada,CAN,2020-02-23,-1.21
Canada,CAN,2020-03-01,1.63
Canada,CAN,2020-03-08,2.14
Canada,CAN,2020-03-15,1.9
Canada,CAN,2020-03-22,5.85
Canada,CAN,2020-03-29,7.34
Canada,CAN,2020-04-05,16.18
Canada,CAN,2020-04-12,21.62
Canada,CAN,2020-04-19,23.58
Canada,CAN,2020-04-26,29.83
Canada,CAN,2020-05-03,28.43
Canada,CAN,2020-05-10,22.75
Canada,CAN,2020-05-17,19.16
Canada,CAN,2020-05-24,15.87
Canada,CAN,2020-05-31,17.48
Canada,CAN,2020-06-07,11.28
Canada,CAN,2020-06-14,4.9
Canada,CAN,2020-06-21,7.88
Canada,CAN,2020-06-28,7.79
Canada,CAN,2020-07-05,4.69
Canada,CAN,2020-07-12,9.14
Canada,CAN,2020-07-19,8.6
Canada,CAN,2020-07-26,7.3
Canada,CAN,2020-08-02,8.77
Canada,CAN,2020-08-09,6.83
Canada,CAN,2020-08-16,11.43
Canada,CAN,2020-08-23,11.12
Canada,CAN,2020-08-30,6.17
Canada,CAN,2020-09-06,10.23
Canada,CAN,2020-09-13,8.06
Canada,CAN,2020-09-20,10.3
Canada,CAN,2020-09-27,12.72
Canada,CAN,2020-10-04,8.78
Canada,CAN,2020-10-11,10.83
Canada,CAN,2020-10-18,2.48
Chile,CHL,2020-01-05,7.57
Chile,CHL,2020-01-12,11.54
Chile,CHL,2020-01-19,8.65
Chile,CHL,2020-01-26,2.66
Chile,CHL,2020-02-02,2.89
Chile,CHL,2020-02-09,8.43
Chile,CHL,2020-02-16,4.08
Chile,CHL,2020-02-23,0.98
Chile,CHL,2020-03-01,5.69
Chile,CHL,2020-03-08,5.35
Chile,CHL,2020-03-15,7.27
Chile,CHL,2020-03-22,11.17
Chile,CHL,2020-03-29,8.84
Chile,CHL,2020-04-05,10.26
Chile,CHL,2020-04-12,3
Chile,CHL,2020-04-19,9.27
Chile,CHL,2020-04-26,5.57
Chile,CHL,2020-05-03,5.23
Chile,CHL,2020-05-10,19.75
Chile,CHL,2020-05-17,19.51
Chile,CHL,2020-05-24,34.7
Chile,CHL,2020-05-31,53.65
Chile,CHL,2020-06-07,68.71
Chile,CHL,2020-06-14,64.87
Chile,CHL,2020-06-21,53.78
Chile,CHL,2020-06-28,44.15
Chile,CHL,2020-07-05,28.49
Chile,CHL,2020-07-12,25.67
Chile,CHL,2020-07-19,16.05
Chile,CHL,2020-07-26,13.8
Chile,CHL,2020-08-02,13.18
Chile,CHL,2020-08-09,10.46
Chile,CHL,2020-08-16,8.29
Chile,CHL,2020-08-23,16.68
Chile,CHL,2020-08-30,15.03
Chile,CHL,2020-09-06,8.12
Chile,CHL,2020-09-13,11.58
Chile,CHL,2020-09-20,8.43
Chile,CHL,2020-09-27,11.36
Chile,CHL,2020-10-04,12.93
Chile,CHL,2020-10-11,19.46
Chile,CHL,2020-10-18,16.46
Chile,CHL,2020-10-25,17.55
Chile,CHL,2020-11-01,16.68
Chile,CHL,2020-11-08,14.98
Chile,CHL,2020-11-15,11.64
Chile,CHL,2020-11-22,12.45
Chile,CHL,2020-11-29,16.12
Chile,CHL,2020-12-06,17.19
Chile,CHL,2020-12-13,15.67
Chile,CHL,2020-12-20,14.38
Chile,CHL,2020-12-27,30.27
Chile,CHL,2021-01-03,26.16
Chile,CHL,2021-01-10,23.72
Chile,CHL,2021-01-17,23.48
Croatia,HRV,2020-01-05,-16.21
Croatia,HRV,2020-01-12,-16.16
Croatia,HRV,2020-01-19,-19.01
Croatia,HRV,2020-01-26,-8.27
Croatia,HRV,2020-02-02,-8.45
Croatia,HRV,2020-02-09,-8.81
Croatia,HRV,2020-02-16,-4.32
Croatia,HRV,2020-02-23,-6.27
Croatia,HRV,2020-03-01,-8.61
Croatia,HRV,2020-03-08,-6.4
Croatia,HRV,2020-03-15,-0.82
Croatia,HRV,2020-03-22,2.91
Croatia,HRV,2020-03-29,8.13
Croatia,HRV,2020-04-05,-3.57
Croatia,HRV,2020-04-12,0.32
Croatia,HRV,2020-04-19,1.27
Croatia,HRV,2020-04-26,-14.45
Croatia,HRV,2020-05-03,-6.25
Croatia,HRV,2020-05-10,-7.51
Croatia,HRV,2020-05-17,-3.53
Croatia,HRV,2020-05-24,-4.46
Croatia,HRV,2020-05-31,-8.72
Croatia,HRV,2020-06-07,2.46
Croatia,HRV,2020-06-14,4.17
Croatia,HRV,2020-06-21,-3.65
Croatia,HRV,2020-06-28,1.8
Croatia,HRV,2020-07-05,1.83
Croatia,HRV,2020-07-12,-3.31
Croatia,HRV,2020-07-19,-7.35
Croatia,HRV,2020-07-26,-1.24
Croatia,HRV,2020-08-02,10.26
Croatia,HRV,2020-08-09,-0.27
Croatia,HRV,2020-08-16,-1.2
Croatia,HRV,2020-08-23,1.97
Croatia,HRV,2020-08-30,6.12
Croatia,HRV,2020-09-06,5.03
Croatia,HRV,2020-09-13,11.65
Croatia,HRV,2020-09-20,4.47
Croatia,HRV,2020-09-27,1.9
Croatia,HRV,2020-10-04,10.49
Croatia,HRV,2020-10-11,-1.11
Croatia,HRV,2020-10-18,15.46
Croatia,HRV,2020-10-25,17.76
Croatia,HRV,2020-11-01,20.07
Croatia,HRV,2020-11-08,31.2
Croatia,HRV,2020-11-15,36.09
Croatia,HRV,2020-11-22,50.81
Croatia,HRV,2020-11-29,40.64
Czechia,CZE,2020-01-05,-2.55
Czechia,CZE,2020-01-12,-0.92
Czechia,CZE,2020-01-19,-6.03
Czechia,CZE,2020-01-26,-2.15
Czechia,CZE,2020-02-02,-1.52
Czechia,CZE,2020-02-09,-4.6
Czechia,CZE,2020-02-16,-4.32
Czechia,CZE,2020-02-23,-6.2
Czechia,CZE,2020-03-01,-4.41
Czechia,CZE,2020-03-08,-4.94
Czechia,CZE,2020-03-15,-1.19
Czechia,CZE,2020-03-22,2.48
Czechia,CZE,2020-03-29,4.32
Czechia,CZE,2020-04-05,7.41
Czechia,CZE,2020-04-12,5.75
Czechia,CZE,2020-04-19,2.81
Czechia,CZE,2020-04-26,-3.75
Czechia,CZE,2020-05-03,4.07
Czechia,CZE,2020-05-10,-1.28
Czechia,CZE,2020-05-17,2.34
Czechia,CZE,2020-05-24,-3.45
Czechia,CZE,2020-05-31,-5.07
Czechia,CZE,2020-06-07,9.03
Czechia,CZE,2020-06-14,1.46
Czechia,CZE,2020-06-21,3.9
Czechia,CZE,2020-06-28,6.11
Czechia,CZE,2020-07-05,6.31
Czechia,CZE,2020-07-12,0.25
Czechia,CZE,2020-07-19,-0.54
Czechia,CZE,2020-07-26,2.66
Czechia,CZE,2020-08-02,9.1
Czechia,CZE,2020-08-09,6.64
Czechia,CZE,2020-08-16,5.98
Czechia,CZE,2020-08-23,6.63
Czechia,CZE,2020-08-30,3.66
Czechia,CZE,2020-09-06,3.78
Czechia,CZE,2020-09-13,5.86
Czechia,CZE,2020-09-20,11.63
Czechia,CZE,2020-09-27,17.93
Czechia,CZE,2020-10-04,13.28
Czechia,CZE,2020-10-11,23.02
Czechia,CZE,2020-10-18,41.98
Czechia,CZE,2020-10-25,74.76
Czechia,CZE,2020-11-01,104.86
Czechia,CZE,2020-11-08,106.79
Czechia,CZE,2020-11-15,84.36
Czechia,CZE,2020-11-22,62.49
Czechia,CZE,2020-11-29,50.97
Czechia,CZE,2020-12-06,45.43
Czechia,CZE,2020-12-13,42.12
Czechia,CZE,2020-12-20,43.56
Denmark,DNK,2020-01-05,-0.39
Denmark,DNK,2020-01-12,3.14
Denmark,DNK,2020-01-19,-2.85
Denmark,DNK,2020-01-26,-6.09
Denmark,DNK,2020-02-02,-4.8
Denmark,DNK,2020-02-09,-5.25
Denmark,DNK,2020-02-16,-9.29
Denmark,DNK,2020-02-23,-10.57
Denmark,DNK,2020-03-01,-13.31
Denmark,DNK,2020-03-08,-9.29
Denmark,DNK,2020-03-15,-7.96
Denmark,DNK,2020-03-22,1.59
Denmark,DNK,2020-03-29,2.47
Denmark,DNK,2020-04-05,9.51
Denmark,DNK,2020-04-12,6.96
Denmark,DNK,2020-04-19,5.13
Denmark,DNK,2020-04-26,10.46
Denmark,DNK,2020-05-03,1.28
Denmark,DNK,2020-05-10,1.3
Denmark,DNK,2020-05-17,-2.24
Denmark,DNK,2020-05-24,2.66
Denmark,DNK,2020-05-31,-0.12
Denmark,DNK,2020-06-07,-0.97
Denmark,DNK,2020-06-14,2.67
Denmark,DNK,2020-06-21,-2.25
Denmark,DNK,2020-06-28,5.83
Denmark,DNK,2020-07-05,5.67
Denmark,DNK,2020-07-12,1.51
Denmark,DNK,2020-07-19,7.1
Denmark,DNK,2020-07-26,-3.59
Denmark,DNK,2020-08-02,1.78
Denmark,DNK,2020-08-09,0.06
Denmark,DNK,2020-08-16,5.17
Denmark,DNK,2020-08-23,2.66
Denmark,DNK,2020-08-30,1.28
Denmark,DNK,2020-09-06,4.56
Denmark,DNK,2020-09-13,3.56
Denmark,DNK,2020-09-20,12.1
Denmark,DNK,2020-09-27,-0.51
Denmark,DNK,2020-10-04,2.64
Denmark,DNK,2020-10-11,-5.42
Denmark,DNK,2020-10-18,2.56
Denmark,DNK,2020-10-25,11.3
Denmark,DNK,2020-11-01,-0.77
Denmark,DNK,2020-11-08,2.97
Denmark,DNK,2020-11-15,7.74
Denmark,DNK,2020-11-22,6.16
Denmark,DNK,2020-11-29,5.3
Denmark,DNK,2020-12-06,2.24
Denmark,DNK,2020-12-13,2.28
Denmark,DNK,2020-12-20,20.55
Denmark,DNK,2020-12-27,13.79
Denmark,DNK,2021-01-03,18.21
Denmark,DNK,2021-01-10,9.86
Denmark,DNK,2021-01-17,8.43
Denmark,DNK,2021-01-24,14.48
England & Wales,,2020-01-05,0.44
England & Wales,,2020-01-12,1.7
England & Wales,,2020-01-19,-1.68
England & Wales,,2020-01-26,-7.11
England & Wales,,2020-02-02,-4.83
England & Wales,,2020-02-09,-7.86
England & Wales,,2020-02-16,-5.82
England & Wales,,2020-02-23,-6.1
England & Wales,,2020-03-01,-3.26
England & Wales,,2020-03-08,-5.19
England & Wales,,2020-03-15,-1.66
England & Wales,,2020-03-22,0.75
England & Wales,,2020-03-29,10.08
England & Wales,,2020-04-05,59.04
England & Wales,,2020-04-12,76.05
England & Wales,,2020-04-19,113.07
England & Wales,,2020-04-26,110.37
England & Wales,,2020-05-03,80.73
England & Wales,,2020-05-10,32.22
England & Wales,,2020-05-17,43.03
England & Wales,,2020-05-24,23.65
England & Wales,,2020-05-31,20.21
England & Wales,,2020-06-07,7.37
England & Wales,,2020-06-14,5.94
England & Wales,,2020-06-21,-0.67
England & Wales,,2020-06-28,-3.38
England & Wales,,2020-07-05,-0.47
England & Wales,,2020-07-12,-6.05
England & Wales,,2020-07-19,-2.96
England & Wales,,2020-07-26,-1.77
England & Wales,,2020-08-02,-0.96
England & Wales,,2020-08-09,-1.7
England & Wales,,2020-08-16,3.36
England & Wales,,2020-08-23,5.16
England & Wales,,2020-08-30,9.62
England & Wales,,2020-09-06,-15.71
England & Wales,,2020-09-13,5.42
England & Wales,,2020-09-20,2.78
England & Wales,,2020-09-27,2.76
England & Wales,,2020-10-04,4.08
England & Wales,,2020-10-11,1.46
England & Wales,,2020-10-18,6.78
England & Wales,,2020-10-25,10.04
England & Wales,,2020-11-01,10.15
England & Wales,,2020-11-08,14.36
England & Wales,,2020-11-15,18.41
England & Wales,,2020-11-22,20.8
England & Wales,,2020-11-29,20.27
England & Wales,,2020-12-06,15.05
England & Wales,,2020-12-13,14.37
England & Wales,,2020-12-20,12.69
England & Wales,,2020-12-27,44.81
England & Wales,,2021-01-03,26.57
England & Wales,,2021-01-10,45.51
England & Wales,,2021-01-17,30.53
Estonia,EST,2020-01-05,-13.9
Estonia,EST,2020-01-12,-4
Estonia,EST,2020-01-19,-4.47
Estonia,EST,2020-01-26,-10.61
Estonia,EST,2020-02-02,-9.01
Estonia,EST,2020-02-09,-19.01
Estonia,EST,2020-02-16,0.12
Estonia,EST,2020-02-23,-1.36
Estonia,EST,2020-03-01,-5.82
Estonia,EST,2020-03-08,-12.38
Estonia,EST,2020-03-15,5.38
Estonia,EST,2020-03-22,0.06
Estonia,EST,2020-03-29,3.54
Estonia,EST,2020-04-05,4.28
Estonia,EST,2020-04-12,3.95
Estonia,EST,2020-04-19,4.54
Estonia,EST,2020-04-26,14.31
Estonia,EST,2020-05-03,6.43
Estonia,EST,2020-05-10,9.87
Estonia,EST,2020-05-17,-4.65
Estonia,EST,2020-05-24,-3
Estonia,EST,2020-05-31,10.42
Estonia,EST,2020-06-07,-2.72
Estonia,EST,2020-06-14,3.79
Estonia,EST,2020-06-21,1.84
Estonia,EST,2020-06-28,11.49
Estonia,EST,2020-07-05,3.36
Estonia,EST,2020-07-12,3.99
Estonia,EST,2020-07-19,4.81
Estonia,EST,2020-07-26,5.84
Estonia,EST,2020-08-02,14.18
Estonia,EST,2020-08-09,3.42
Estonia,EST,2020-08-16,6.4
Estonia,EST,2020-08-23,-0.08
Estonia,EST,2020-08-30,10.21
Estonia,EST,2020-09-06,6.09
Estonia,EST,2020-09-13,-6.09
Estonia,EST,2020-09-20,11.51
Estonia,EST,2020-09-27,15.84
Estonia,EST,2020-10-04,6
Estonia,EST,2020-10-11,-3.99
Estonia,EST,2020-10-18,6.7
Estonia,EST,2020-10-25,4.19
Estonia,EST,2020-11-01,-8.63
Estonia,EST,2020-11-08,3.29
Estonia,EST,2020-11-15,0.34
Estonia,EST,2020-11-22,13.33
Estonia,EST,2020-11-29,15.44
Estonia,EST,2020-12-06,15.12
Estonia,EST,2020-12-13,14.69
Estonia,EST,2020-12-20,9.93
Estonia,EST,2020-12-27,13.87
Estonia,EST,2021-01-03,15.46
Estonia,EST,2021-01-10,7.33
Estonia,EST,2021-01-17,10.79
Finland,FIN,2020-01-05,-10.06
Finland,FIN,2020-01-12,-9.52
Finland,FIN,2020-01-19,-9.67
Finland,FIN,2020-01-26,-7.82
Finland,FIN,2020-02-02,-5.59
Finland,FIN,2020-02-09,-0.71
Finland,FIN,2020-02-16,-0.07
Finland,FIN,2020-02-23,-0.38
Finland,FIN,2020-03-01,-6.27
Finland,FIN,2020-03-08,0.31
Finland,FIN,2020-03-15,0.2
Finland,FIN,2020-03-22,3.16
Finland,FIN,2020-03-29,4.14
Finland,FIN,2020-04-05,2.88
Finland,FIN,2020-04-12,12.66
Finland,FIN,2020-04-19,3.42
Finland,FIN,2020-04-26,12.47
Finland,FIN,2020-05-03,8.98
Finland,FIN,2020-05-10,8.33
Finland,FIN,2020-05-17,13.72
Finland,FIN,2020-05-24,-0.17
Finland,FIN,2020-05-31,4.17
Finland,FIN,2020-06-07,1.84
Finland,FIN,2020-06-14,5.58
Finland,FIN,2020-06-21,10.34
Finland,FIN,2020-06-28,7.41
Finland,FIN,2020-07-05,5.41
Finland,FIN,2020-07-12,0
Finland,FIN,2020-07-19,6.61
Finland,FIN,2020-07-26,-0.97
Finland,FIN,2020-08-02,4.62
Finland,FIN,2020-08-09,3.16
Finland,FIN,2020-08-16,2.8
Finland,FIN,2020-08-23,6.09
Finland,FIN,2020-08-30,2.6
Finland,FIN,2020-09-06,1.22
Finland,FIN,2020-09-13,16.37
Finland,FIN,2020-09-20,5.72
Finland,FIN,2020-09-27,9.71
Finland,FIN,2020-10-04,-3.88
Finland,FIN,2020-10-11,-3.79
Finland,FIN,2020-10-18,5.57
Finland,FIN,2020-10-25,3.5
Finland,FIN,2020-11-01,9.24
Finland,FIN,2020-11-08,3.11
Finland,FIN,2020-11-15,2.63
Finland,FIN,2020-11-22,8.78
Finland,FIN,2020-11-29,6.43
Finland,FIN,2020-12-06,3.78
Finland,FIN,2020-12-13,2.68
Finland,FIN,2020-12-20,0.26
Finland,FIN,2020-12-27,-19.22
France,FRA,2020-01-05,-5.33
France,FRA,2020-01-12,-2.71
France,FRA,2020-01-19,-4.66
France,FRA,2020-01-26,-5.68
France,FRA,2020-02-02,-4.12
France,FRA,2020-02-09,-5.96
France,FRA,2020-02-16,-5.89
France,FRA,2020-02-23,-8.23
France,FRA,2020-03-01,-6.81
France,FRA,2020-03-08,-3.88
France,FRA,2020-03-15,4.26
France,FRA,2020-03-22,18.66
France,FRA,2020-03-29,39.03
France,FRA,2020-04-05,65.19
France,FRA,2020-04-12,57.14
France,FRA,2020-04-19,39.57
France,FRA,2020-04-26,17.43
France,FRA,2020-05-03,4.44
France,FRA,2020-05-10,3.67
France,FRA,2020-05-17,2.07
France,FRA,2020-05-24,5.54
France,FRA,2020-05-31,1.57
France,FRA,2020-06-07,1.79
France,FRA,2020-06-14,2.62
France,FRA,2020-06-21,0.55
France,FRA,2020-06-28,6.95
France,FRA,2020-07-05,-6.84
France,FRA,2020-07-12,0.92
France,FRA,2020-07-19,-3.1
France,FRA,2020-07-26,0.96
France,FRA,2020-08-02,6.85
France,FRA,2020-08-09,4.72
France,FRA,2020-08-16,17.3
France,FRA,2020-08-23,1.76
France,FRA,2020-08-30,2.03
France,FRA,2020-09-06,5.23
France,FRA,2020-09-13,8
France,FRA,2020-09-20,10.73
France,FRA,2020-09-27,2.01
France,FRA,2020-10-04,8.65
France,FRA,2020-10-11,5.8
France,FRA,2020-10-18,10.34
France,FRA,2020-10-25,22.43
France,FRA,2020-11-01,30.53
France,FRA,2020-11-08,37.99
France,FRA,2020-11-15,36.65
France,FRA,2020-11-22,30.99
France,FRA,2020-11-29,26.84
France,FRA,2020-12-06,23.74
France,FRA,2020-12-13,20.65
France,FRA,2020-12-20,13.53
France,FRA,2020-12-27,7.98
France,FRA,2021-01-03,11.46
Germany,DEU,2020-01-05,-2.33
Germany,DEU,2020-01-12,-0.93
Germany,DEU,2020-01-19,-1.89
Germany,DEU,2020-01-26,-4.66
Germany,DEU,2020-02-02,-2.83
Germany,DEU,2020-02-09,-6.43
Germany,DEU,2020-02-16,-4.82
Germany,DEU,2020-02-23,-9.76
Germany,DEU,2020-03-01,-9.53
Germany,DEU,2020-03-08,-7.8
Germany,DEU,2020-03-15,-2.79
